step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
227,51894,454,0.017319534565084272,0.5,0.5,,,,,,,,,
228,52120,456,0.01654870192078503,1.0,1.0,,,,,,,,,
229,52346,458,0.018242270982846028,0.0,0.0,,,,,,,,,
230,52588,460,0.017578777356016692,1.0,1.0,,,,,,,,,
231,52814,462,0.01674502943548269,0.5,0.5,,,,,,,,,
232,53024,464,0.01772974921673714,1.0,1.0,,,,,,,,,
233,53186,466,0.017190401179899752,0.5,0.5,0.015415684662618398,0.5,0.5,,,,,,
234,53428,468,0.020306737177874335,0.0,0.0,,,,,,,,,
235,53670,470,0.018729237524363195,0.0,0.0,,,,,,,,,
236,53880,472,0.017159162691223858,0.0,0.0,,,,,,,,,
237,54090,474,0.017535696836352557,0.0,0.0,,,,,,,,,
238,54316,476,0.01579477361713238,0.5,0.5,,,,,,,,,
239,54542,478,0.01580830120494744,0.5,0.5,,,,,,,,,
240,54736,480,0.018141355683001723,0.5,0.5,,,,,,,,,
241,54978,482,0.017335074456241877,1.0,1.0,0.02096839930866668,0.0,0.0,,,,,,
242,55220,484,0.014303809590476802,1.0,1.0,,,,,,,,,
243,55446,486,0.019419902330822834,0.5,0.5,,,,,,,,,
244,55688,488,0.018238821404901368,0.5,0.5,,,,,,,,,
245,55914,490,0.025223465355404668,0.0,0.0,,,,,,,,,
246,56156,492,0.017753491583803637,0.5,0.5,,,,,,,,,
247,56382,494,0.02083046110734316,0.5,0.5,,,,,,,,,
248,56624,496,0.014568292178255421,0.5,0.5,,,,,,,,,
249,56866,498,0.015832062429630117,0.5,0.5,0.016511471123764884,1.0,1.0,,,,,,
250,57092,500,0.017761663257307207,0.5,0.5,,,,,,,,,
251,57334,502,0.018413236584287396,0.5,0.5,,,,,,,,,
252,57560,504,0.01820703671810283,0.5,0.5,,,,,,,,,
253,57802,506,0.015236455807532518,0.5,0.5,,,,,,,,,
254,58044,508,0.016321453828853895,1.0,1.0,,,,,,,,,
255,58270,510,0.01732796592177151,1.0,1.0,,,,,,,,,
256,58480,512,0.015975267967219944,0.5,0.5,,,,,,,,,
257,58722,514,0.01798500677620487,0.5,0.5,0.01573512329856731,1.0,1.0,,,,,,
258,58964,516,0.01849495426459386,0.0,0.0,,,,,,,,,
259,59206,518,0.01693626710404776,1.0,1.0,,,,,,,,,
260,59448,520,0.014828392997761841,0.5,0.5,,,,,,,,,
261,59674,522,0.017393963879104225,0.5,0.5,,,,,,,,,
262,59900,524,0.01691409363866708,0.5,0.5,,,,,,,,,
263,60126,526,0.017265049067429296,1.0,1.0,,,,,,,,,
264,60368,528,0.013872663384971291,1.0,1.0,,,,,,,,,
265,60594,530,0.012703739329183316,1.0,1.0,0.013426007982686006,0.5,0.5,,,,,,
266,60788,532,0.015144845901462848,0.5,0.5,,,,,,,,,
267,61014,534,0.017371528573177187,0.5,0.5,,,,,,,,,
268,61240,536,0.01211059020262159,0.5,0.5,,,,,,,,,
269,61466,538,0.02124328081360013,0.0,0.0,,,,,,,,,
270,61676,540,0.020840840734482294,0.0,0.0,,,,,,,,,
271,61918,542,0.01570732815658899,0.5,0.5,,,,,,,,,
272,62160,544,0.016422360211398215,0.5,0.5,,,,,,,,,
273,62402,546,0.011291216792448853,0.5,0.5,0.01658127524700962,0.5,0.5,,,,,,
274,62644,548,0.015964897214076946,1.0,1.0,,,,,,,,,
275,62870,550,0.01769353903818869,1.0,1.0,,,,,,,,,
276,63112,552,0.016055765147542637,0.5,0.5,,,,,,,,,
277,63338,554,0.0166093133779252,1.0,1.0,,,,,,,,,
278,63500,556,0.015343515815008054,0.5,0.5,,,,,,,,,
279,63710,558,0.019534928654584078,0.5,0.5,,,,,,,,,
280,63952,560,0.01832872878501838,0.5,0.5,,,,,,,,,
281,64194,562,0.011872607604421995,0.5,0.5,0.014456275963683263,0.5,0.5,,,,,,
282,64420,564,0.017269837465557422,0.0,0.0,,,,,,,,,
283,64630,566,0.01949267210370835,1.0,1.0,,,,,,,,,
284,64872,568,0.01192723227127148,0.5,0.5,,,,,,,,,
285,65098,570,0.016432294144867677,0.0,0.0,,,,,,,,,
286,65340,572,0.016897940575805497,0.0,0.0,,,,,,,,,
287,65582,574,0.016887663996291994,0.0,0.0,,,,,,,,,
288,65792,576,0.0205989236858039,0.5,0.5,,,,,,,,,
289,66034,578,0.015039904100959288,1.0,1.0,0.01394104564400188,1.0,1.0,,,,,,
290,66276,580,0.013164672470170502,0.0,0.0,,,,,,,,,
291,66518,582,0.02010127980810498,1.0,1.0,,,,,,,,,
292,66744,584,0.019394169034125653,1.0,1.0,,,,,,,,,
293,66986,586,0.018537198410612986,0.5,0.5,,,,,,,,,
294,67212,588,0.019410279829117527,1.0,1.0,,,,,,,,,
295,67454,590,0.011733594824305265,1.0,1.0,,,,,,,,,
296,67680,592,0.016784406381303213,0.5,0.5,,,,,,,,,
297,67906,594,0.020181996613250847,0.5,0.5,0.01801060832911977,0.5,0.5,,,,,,
298,68148,596,0.015210060757529514,0.5,0.5,,,,,,,,,
299,68374,598,0.01599744193621266,0.5,0.5,,,,,,,,,
300,68600,600,0.01298998106482594,1.0,1.0,,,,,,,,,
301,68826,602,0.02461673779901919,0.0,0.0,,,,,,,,,
302,69068,604,0.01250784172983848,1.0,1.0,,,,,,,,,
303,69310,606,0.01812479786031496,0.5,0.5,,,,,,,,,
304,69520,608,0.01850029111096418,0.5,0.5,,,,,,,,,
305,69730,610,0.021555740173314193,0.0,0.0,0.014492101019738607,1.0,1.0,,,,,,
306,69956,612,0.013437180234694356,1.0,1.0,,,,,,,,,
307,70182,614,0.014877833055394312,1.0,1.0,,,,,,,,,
308,70440,616,0.014787731248808486,0.5,0.5,,,,,,,,,
309,70666,618,0.011806244436345982,0.5,0.5,,,,,,,,,
310,70892,620,0.012181708592770584,0.5,0.5,,,,,,,,,
311,71118,622,0.019165771161092023,0.0,0.0,,,,,,,,,
312,71360,624,0.01609442119061843,0.5,0.5,,,,,,,,,
313,71570,626,0.01975331287693105,0.0,0.0,0.01840293034268733,0.5,0.5,,,,,,
314,71796,628,0.018914645294214407,0.5,0.5,,,,,,,,,
315,72006,630,0.013257947120886234,0.0,0.0,,,,,,,,,
316,72248,632,0.017053843471840056,0.5,0.5,,,,,,,,,
317,72474,634,0.013976359407921935,0.5,0.5,,,,,,,,,
318,72684,636,0.017088508782778185,0.5,0.5,,,,,,,,,
319,72926,638,0.015101985715390108,0.5,0.5,,,,,,,,,
320,73152,640,0.014795191788912115,0.5,0.5,,,,,,,,,
321,73394,642,0.013827967250106658,1.0,1.0,0.009780898656701651,1.0,1.0,,,,,,
322,73636,644,0.014763506926795778,0.5,0.5,,,,,,,,,
323,73862,646,0.01849148458767031,0.5,0.5,,,,,,,,,
324,74104,648,0.013941441470689835,1.0,1.0,,,,,,,,,
325,74330,650,0.016530410860180304,0.5,0.5,,,,,,,,,
326,74572,652,0.018969844865220797,0.5,0.5,,,,,,,,,
327,74798,654,0.016254224154464116,0.5,0.5,,,,,,,,,
328,75040,656,0.0189921930353363,0.0,0.0,,,,,,,,,
329,75250,658,0.017959674412049657,0.5,0.5,0.010279919815654511,1.0,1.0,,,,,,
330,75476,660,0.016475902501551617,0.5,0.5,,,,,,,,,
331,75718,662,0.0163372100021537,0.5,0.5,,,,,,,,,
332,75944,664,0.01372517564269394,1.0,1.0,,,,,,,,,
333,76186,666,0.01653094631911756,0.5,0.5,,,,,,,,,
334,76412,668,0.018778545000751164,0.0,0.0,,,,,,,,,
335,76654,670,0.01774348287888233,1.0,1.0,,,,,,,,,
336,76896,672,0.01476166844279721,0.0,0.0,,,,,,,,,
337,77122,674,0.01872880492349599,1.0,1.0,0.015885728968237985,0.5,0.5,,,,,,
338,77348,676,0.013103040914473582,0.5,0.5,,,,,,,,,
339,77574,678,0.014593841465081846,0.5,0.5,,,,,,,,,
340,77816,680,0.02204179470767774,0.0,0.0,,,,,,,,,
341,78042,682,0.014104327896203408,0.5,0.5,,,,,,,,,
342,78284,684,0.016648678521224702,0.5,0.5,,,,,,,,,
343,78510,686,0.014388448399829567,0.5,0.5,,,,,,,,,
344,78736,688,0.018554366745626428,0.5,0.5,,,,,,,,,
345,78978,690,0.01338989066582698,0.5,0.5,0.01580421023609491,0.0,0.0,,,,,,
346,79204,692,0.020197001741570846,0.5,0.5,,,,,,,,,
347,79430,694,0.01754830176484449,1.0,1.0,,,,,,,,,
348,79656,696,0.015380966551926738,0.0,0.0,,,,,,,,,
349,79914,698,0.014598548384084037,0.5,0.5,,,,,,,,,
350,80140,700,0.014021487294656404,0.5,0.5,,,,,,,,,
351,80382,702,0.013819771189901797,0.0,0.0,,,,,,,,,
352,80624,704,0.01595102206822634,0.5,0.5,,,,,,,,,
353,80850,706,0.016065208539553295,0.0,0.0,0.01645031084869123,1.0,1.0,,,,,,
354,81092,708,0.015491969396028942,1.0,1.0,,,,,,,,,
355,81334,710,0.01520343852096633,0.0,0.0,,,,,,,,,
356,81560,712,0.018769031531727133,0.0,0.0,,,,,,,,,
357,81786,714,0.016135076153270388,0.0,0.0,,,,,,,,,
358,82012,716,0.0175532729352297,0.5,0.5,,,,,,,,,
359,82238,718,0.017685259912542065,0.0,0.0,,,,,,,,,
360,82480,720,0.01576054592198736,0.0,0.0,,,,,,,,,
361,82722,722,0.0202842741078113,0.5,0.5,0.013616398078256849,0.5,0.5,,,,,,
362,82932,724,0.016294805169661766,0.0,0.0,,,,,,,,,
363,83190,726,0.013308161951741088,1.0,1.0,,,,,,,,,
364,83416,728,0.01677423758535504,0.5,0.5,,,,,,,,,
365,83642,730,0.018716054806584254,0.5,0.5,,,,,,,,,
366,83884,732,0.010684894418426372,1.0,1.0,,,,,,,,,
367,84110,734,0.012953722665293307,1.0,1.0,,,,,,,,,
368,84336,736,0.020085413643897727,0.0,0.0,,,,,,,,,
369,84562,738,0.015605583473439124,0.5,0.5,0.014321787543785065,0.5,0.5,,,,,,
370,84756,740,0.01631883234492316,0.0,0.0,,,,,,,,,
371,84998,742,0.017273382540552863,0.0,0.0,,,,,,,,,
372,85240,744,0.017346709656588355,0.5,0.5,,,,,,,,,
373,85466,746,0.018950646555008676,0.5,0.5,,,,,,,,,
374,85692,748,0.01853303631392723,0.0,0.0,,,,,,,,,
375,85918,750,0.01632673040196157,0.0,0.0,,,,,,,,,
376,86144,752,0.012224461798908773,0.5,0.5,,,,,,,,,
377,86370,754,0.017143376839651645,1.0,1.0,0.01930887291547172,0.5,0.5,,,,,,
378,86596,756,0.014420956032815667,0.5,0.5,,,,,,,,,
379,86838,758,0.013479065332523832,0.5,0.5,,,,,,,,,
380,87080,760,0.013158241985986823,1.0,1.0,,,,,,,,,
381,87306,762,0.012157088434814261,0.0,0.0,,,,,,,,,
382,87532,764,0.015743021596855006,1.0,1.0,,,,,,,,,
383,87758,766,0.015833336407125382,1.0,1.0,,,,,,,,,
384,88000,768,0.01560464141014369,0.5,0.5,,,,,,,,,
385,88226,770,0.024593926226593257,0.0,0.0,0.015918703609478085,0.5,0.5,,,,,,
386,88452,772,0.016903172542713642,0.5,0.5,,,,,,,,,
387,88678,774,0.017672733061968454,0.5,0.5,,,,,,,,,
388,88920,776,0.0196596639810347,0.0,0.0,,,,,,,,,
389,89146,778,0.013917280215608712,1.0,1.0,,,,,,,,,
